tokenId,seller,buyer,amount,contractAddress,id
1,860c4604fe1125ea43f81e613e7afb2aa49546aa,bc74c3adc2aa6a85bda3eca5b0e235ca08532772,4.6e+17,41a322b28d0ff354040e2cbc676f0320d8c8850d,0xf1097e3617632e43b7c0a46ffeb4d741d0a67b25fb06f5f0c773912007f96bdf-79
3,860c4604fe1125ea43f81e613e7afb2aa49546aa,bc74c3adc2aa6a85bda3eca5b0e235ca08532772,4.6e+17,41a322b28d0ff354040e2cbc676f0320d8c8850d,0x66e9ac3a5d651123398f274ffecfccbbb86f04748c7045de404bd6936ad6b2b0-64
4,860c4604fe1125ea43f81e613e7afb2aa49546aa,bc74c3adc2aa6a85bda3eca5b0e235ca08532772,4.6e+17,41a322b28d0ff354040e2cbc676f0320d8c8850d,0x0f4efbc5a8350e36e8ed03225f643b32544254add8c6533e296baf8b4dd27675-87
17,21316e6a4f0af45e5f1503984e83b10c53b177d8,337101def3eeb6f06e071efe02216274507937bb,4.23e+17,41a322b28d0ff354040e2cbc676f0320d8c8850d,0x6c01b80f7f8abf7e7668cda5178fbe45c5901f5c8dae1ff0013f5ad378447267-112
29,21316e6a4f0af45e5f1503984e83b10c53b177d8,ec8c1050b45789f9ee4d09dcc7d64aaf9e233338,4.23e+17,41a322b28d0ff354040e2cbc676f0320d8c8850d,0xe31cc47593b61f10514ad802574a5f390c246ebf4d0fc4c2eee456d956c2d63e-25
26,47709726b5bdc4c8c97de43691d93821d5b14103,337101def3eeb6f06e071efe02216274507937bb,2e+17,41a322b28d0ff354040e2cbc676f0320d8c8850d,0x45570924b01369a2a1717f1142a8b9dc380c471f058703338a6fa554b546de70-84
20,47709726b5bdc4c8c97de43691d93821d5b14103,335e19b3f5dcfa2e398ee7d5ff430a1f8ccc88b2,1e+17,41a322b28d0ff354040e2cbc676f0320d8c8850d,0xbde2b35c455fdd8babe97fb61c9b25db79943ea6139ce60db8c775462adce04a-10
36,21316e6a4f0af45e5f1503984e83b10c53b177d8,337101def3eeb6f06e071efe02216274507937bb,2.3e+17,41a322b28d0ff354040e2cbc676f0320d8c8850d,0x274a0400dfbfe50f0b2b69df20435c5c07869b363ef600d9f661bde11f3fd7d4-62
45,f0520845f700796b567cd740876f2e210f2468e5,b4f6ae2cca59f0ea3fb2559e32c61df753bb542a,1e+18,41a322b28d0ff354040e2cbc676f0320d8c8850d,0xd292ea91e1680e994348ece4dbb563c13f33dcd31a48175c4298724ce1815525-148
21,47709726b5bdc4c8c97de43691d93821d5b14103,ec8c1050b45789f9ee4d09dcc7d64aaf9e233338,1.2e+17,41a322b28d0ff354040e2cbc676f0320d8c8850d,0x48aa55eb7637836d72be616a2b934063bdd50f04a616013c67a55187feb9e246-121
59,21316e6a4f0af45e5f1503984e83b10c53b177d8,51c3016d6699480ec6becdf2155079c27ebae040,8e+17,41a322b28d0ff354040e2cbc676f0320d8c8850d,0x1f2f0bbf6faeddabab76e21038a094ef8bbaa6e84414ed9b858758f7f07fbc61-4
69,0320de3378dcde180758ad2d41c0e1c6dcbb441d,ec8c1050b45789f9ee4d09dcc7d64aaf9e233338,1e+17,41a322b28d0ff354040e2cbc676f0320d8c8850d,0x94989f7358eb3a65567e510793573eff336b2dff0a521d5f1ca5e0a83226a162-71
74,0320de3378dcde180758ad2d41c0e1c6dcbb441d,6853a596d6d7264d3622546da3b891b6fe17eb82,1e+17,41a322b28d0ff354040e2cbc676f0320d8c8850d,0xa28a6b2e697264add31d41457495ee9e82dacfa006db31ee3b8dea965262d0f3-2
76,0320de3378dcde180758ad2d41c0e1c6dcbb441d,ec8c1050b45789f9ee4d09dcc7d64aaf9e233338,1e+17,41a322b28d0ff354040e2cbc676f0320d8c8850d,0xb3edf6ba11e278f816459b73a7acfe986eb5aec86ba0515878ef812d11ddfefe-118
4,bc74c3adc2aa6a85bda3eca5b0e235ca08532772,e923d07f58239356d4b1db37e03a22141f4f37c6,1.81e+18,41a322b28d0ff354040e2cbc676f0320d8c8850d,0x75fd9db2790b3ba99035c616d55bdeaa12cf6260600437d00fb38999169a70a4-25
77,0320de3378dcde180758ad2d41c0e1c6dcbb441d,335e19b3f5dcfa2e398ee7d5ff430a1f8ccc88b2,1e+17,41a322b28d0ff354040e2cbc676f0320d8c8850d,0x7ca423a811ce9ef57ef4cd9dd626d1daf15936a672687f65feed82b432445224-19
61,79f7c440b359dece7f2a74813a94c36e3aba740e,335e19b3f5dcfa2e398ee7d5ff430a1f8ccc88b2,5e+17,41a322b28d0ff354040e2cbc676f0320d8c8850d,0x69316c491ab9aa1df665af5a8d939c123720e9e74dcc2abfa9f46079f363ccfc-91
64,79f7c440b359dece7f2a74813a94c36e3aba740e,337101def3eeb6f06e071efe02216274507937bb,5e+17,41a322b28d0ff354040e2cbc676f0320d8c8850d,0xb4f86fbd84681b8ae9c5e351864b13a11c68a9d11b56e7bf77b5fa07c3da09dd-19
22,47709726b5bdc4c8c97de43691d93821d5b14103,49e6f2d934077995cf4b24701fa5ae7f7b5e82e5,1.4e+17,41a322b28d0ff354040e2cbc676f0320d8c8850d,0x32bbcd2db69ee1bb47427b5b3b1a48c44228cdbe22b1384cf21dfa6fac62bdff-105
27,47709726b5bdc4c8c97de43691d93821d5b14103,408c76d8e3284338cda7fded97aaf833b7b2480d,2.5e+17,41a322b28d0ff354040e2cbc676f0320d8c8850d,0xd8afbe219a36da76b08dd7c8c3efc5495736ef64d42c6871c464382bd28b0302-69
28,47709726b5bdc4c8c97de43691d93821d5b14103,7e340f8bb5dafa15a16825e2a547ba8c04b297e6,3e+17,41a322b28d0ff354040e2cbc676f0320d8c8850d,0xd04c7fe0444775ede24fcb20c750465bce0ad3e9c7454a55083df18e8b7077d9-90
85,860c4604fe1125ea43f81e613e7afb2aa49546aa,7d6105d75c5e6a40791a50a52a92365545e9b112,1e+18,41a322b28d0ff354040e2cbc676f0320d8c8850d,0x84565855a7949a86685edf490bb9c25eadd35ace734979fd5c6a4aed2ec98d52-60
75,0320de3378dcde180758ad2d41c0e1c6dcbb441d,da07c2cbf92e488960efd591f75d1cb00e9e64ed,3e+17,41a322b28d0ff354040e2cbc676f0320d8c8850d,0x5441dded90244f7ccd034ca08589905c6b1cb914dcca3e364ff91b6de957648d-39
105,d797d5784f43de300ec0d6bc34fc86023c5d71ce,756678bd0d2358d2198511c3adf50502fdf45597,1e+15,41a322b28d0ff354040e2cbc676f0320d8c8850d,0x955112b6d532f9b2b88159c2c64d040efab744c70d6c72eaaef484e3926d094d-125
65,860c4604fe1125ea43f81e613e7afb2aa49546aa,55372173689c288552885d897d32f5f706f79aa6,1e+18,41a322b28d0ff354040e2cbc676f0320d8c8850d,0x016cc41484ef79695996b48ca3c0f312b284debeeeafa3b2be12f7e6c2300287-72
66,860c4604fe1125ea43f81e613e7afb2aa49546aa,0d670d3cf94007639d0bd3f9286cea62f6271093,1e+18,41a322b28d0ff354040e2cbc676f0320d8c8850d,0x000ce1bd1cb00067966cf059944279170b8f24207bdcef69f359030625d99780-14
91,21316e6a4f0af45e5f1503984e83b10c53b177d8,06ce30bd0e1520af542cd5f3a80ea2d1083a2888,1e+18,41a322b28d0ff354040e2cbc676f0320d8c8850d,0x65939a06759483675750b36d46a421644fa44c0556b9004faff80c6d829df8e3-68
67,21316e6a4f0af45e5f1503984e83b10c53b177d8,06ce30bd0e1520af542cd5f3a80ea2d1083a2888,5e+17,41a322b28d0ff354040e2cbc676f0320d8c8850d,0x9488e643e86160a5b62271de9de23e0e83f4a5f891e7a77fda5f83759953b3d2-91
63,79f7c440b359dece7f2a74813a94c36e3aba740e,6853a596d6d7264d3622546da3b891b6fe17eb82,5e+17,41a322b28d0ff354040e2cbc676f0320d8c8850d,0xa107b7817d04e6ee97c96ee3d82c02fab3409ebc13ad3b68cb3eeff4e7e80066-32
113,860c4604fe1125ea43f81e613e7afb2aa49546aa,1cf4d277263024d212c49ae0afb1ac5e8ab04cf4,3e+18,41a322b28d0ff354040e2cbc676f0320d8c8850d,0xed08d288dcd1e2fbeb001b0f7c707c65f8bb50a8797cea2c6a8daefe6ba44fa9-127
86,860c4604fe1125ea43f81e613e7afb2aa49546aa,a636e1a462f612e14adc20cb405d1727a6efca6a,2e+18,41a322b28d0ff354040e2cbc676f0320d8c8850d,0xb60a1b77cb9bff304d3240a75ec822df7bf3b0a70cd08a84a19d959fe3c9bdd7-89
65,55372173689c288552885d897d32f5f706f79aa6,7ea92dbce5387f8ff480fe5d557abd4c7b09054f,2e+18,41a322b28d0ff354040e2cbc676f0320d8c8850d,0xed140b2a033de94922a20f8b3dd1cd11e7bdef60b031b4599ee36944c69731f6-189
87,860c4604fe1125ea43f81e613e7afb2aa49546aa,7ea92dbce5387f8ff480fe5d557abd4c7b09054f,2e+18,41a322b28d0ff354040e2cbc676f0320d8c8850d,0xf9de2320fb5c6d11ec6540bc2fc7b5ce8b1db2ab1ff1044f681d473ea628a1c5-141
89,860c4604fe1125ea43f81e613e7afb2aa49546aa,6853a596d6d7264d3622546da3b891b6fe17eb82,2e+18,41a322b28d0ff354040e2cbc676f0320d8c8850d,0x4851f3a2b52aa562d189d86ba787d438a1c80a50008421f475c8a6b5d940b895-148
58,b7734b5c378fd169d2b9720d0d5ac1a7b30f9fc9,6853a596d6d7264d3622546da3b891b6fe17eb82,3e+17,41a322b28d0ff354040e2cbc676f0320d8c8850d,0x042a5dd268ba68cd67ebbf3af0809a21d79f95fcb3ecfc761270e4e23b3de8d1-54
162,60d38778adbbeeac88f741b833cbb9877228eea0,530cf036ed4fa58f7301a9c788c9806624cefd19,2e+16,41a322b28d0ff354040e2cbc676f0320d8c8850d,0x5f9881537cb357f6d03806ed161666c4f02ec0bd503326c0238d2b3d1961b93d-27
180,60d38778adbbeeac88f741b833cbb9877228eea0,530cf036ed4fa58f7301a9c788c9806624cefd19,5e+16,41a322b28d0ff354040e2cbc676f0320d8c8850d,0x66997c86cc5883dcfa7df2b0d4f0d09c720037e5691b22abf9eb555e69bcf481-14
181,77350e1152efd5f2d807a6124015c629a907155e,a636e1a462f612e14adc20cb405d1727a6efca6a,6.66e+16,41a322b28d0ff354040e2cbc676f0320d8c8850d,0x6218bc1af6fde77eb219726366653cbba09b02c3d9ebd6d01a903fc49f3f1340-14
54,b7734b5c378fd169d2b9720d0d5ac1a7b30f9fc9,6853a596d6d7264d3622546da3b891b6fe17eb82,4e+17,41a322b28d0ff354040e2cbc676f0320d8c8850d,0x7f567919579dd1233461b6bb6d862c6549d0dac99611b7b4cfbd71dcc954f3be-52
56,b7734b5c378fd169d2b9720d0d5ac1a7b30f9fc9,6853a596d6d7264d3622546da3b891b6fe17eb82,4e+17,41a322b28d0ff354040e2cbc676f0320d8c8850d,0x9049fc5499b462254d129092c0a4748b5c079c61170dde3f4b0d72dd70b379a7-9
172,62f7418c3ae08379b25a4b32c1f16e0e8758f9b1,6853a596d6d7264d3622546da3b891b6fe17eb82,1e+17,41a322b28d0ff354040e2cbc676f0320d8c8850d,0xb63632d3a1c4bad08a4e7e5ae3a206cd96a377050b721496182682bda69c8849-71
174,60d38778adbbeeac88f741b833cbb9877228eea0,530cf036ed4fa58f7301a9c788c9806624cefd19,5e+16,41a322b28d0ff354040e2cbc676f0320d8c8850d,0xa49d25196d8347d20f9646b6faa6ecb31cdb09633ea86b2092549fdcaaf056c2-9
526,77350e1152efd5f2d807a6124015c629a907155e,32cee3fb2ecd101c4b6b6a0ecb5f4c283099a8d2,3.5e+16,41a322b28d0ff354040e2cbc676f0320d8c8850d,0xad49e05a0369584f281fd856b0b10b1ee3e64a1d3eeb22760821662b0d799429-90
543,60d38778adbbeeac88f741b833cbb9877228eea0,74b78e98093f5b522a7ebdac3b994641ca7c2b20,1e+17,41a322b28d0ff354040e2cbc676f0320d8c8850d,0x8c62c1e59b37e3d38436535b2906b007a723e091de8452f9a9d02154e34aca28-33
505,77350e1152efd5f2d807a6124015c629a907155e,b3007ff3c3f40bdf0126fec7c8e43c3fc50ea813,2.5e+16,41a322b28d0ff354040e2cbc676f0320d8c8850d,0xac79235badd1afff9fda1eedf8339899eb44585a4e7678a43790b4a4f6da8258-126
559,77350e1152efd5f2d807a6124015c629a907155e,7ea92dbce5387f8ff480fe5d557abd4c7b09054f,100000000000000,41a322b28d0ff354040e2cbc676f0320d8c8850d,0x24b8f79be882f675bafb42f787965a525e193b25da49fb40eaa207e3e03e7ebf-96
