refid,type,tokenid,numviews,hasliked,datecreated
ac875179c11d4641fe6afe30b3421dde,fingerprint,1012,1,f,2018-12-04 18:34:22.223043+01
99ad2e64769656d251e1b3de273ad3fb,fingerprint,872,1,f,2018-12-04 18:36:59.329874+01
431f34ae949c8a1eebfb1f58fe0716fd,fingerprint,967,1,f,2018-12-04 18:37:24.169141+01
431f34ae949c8a1eebfb1f58fe0716fd,fingerprint,935,1,f,2018-12-04 18:37:18.965677+01
99ad2e64769656d251e1b3de273ad3fb,fingerprint,118,1,f,2018-12-04 18:37:20.748827+01
431f34ae949c8a1eebfb1f58fe0716fd,fingerprint,936,1,f,2018-12-04 18:37:14.660577+01
99ad2e64769656d251e1b3de273ad3fb,fingerprint,1090,1,f,2018-12-04 18:35:41.646222+01
99ad2e64769656d251e1b3de273ad3fb,fingerprint,930,1,f,2018-12-04 18:36:15.68384+01
b3007ff3c3f40bdf0126fec7c8e43c3fc50ea813,ethAddress,872,0,t,2018-12-04 18:37:00.322897+01
71bd22a3bae97aea92da6016c6493294,fingerprint,811,1,f,2018-12-04 18:37:12.618578+01
99ad2e64769656d251e1b3de273ad3fb,fingerprint,948,1,f,2018-12-04 18:36:07.10633+01
99ad2e64769656d251e1b3de273ad3fb,fingerprint,1060,1,f,2018-12-04 18:35:38.697625+01
b3007ff3c3f40bdf0126fec7c8e43c3fc50ea813,ethAddress,118,0,t,2018-12-04 18:37:21.953643+01
99ad2e64769656d251e1b3de273ad3fb,fingerprint,1108,1,f,2018-12-04 18:35:16.508871+01
71bd22a3bae97aea92da6016c6493294,fingerprint,720,1,f,2018-12-04 18:37:24.672474+01
431f34ae949c8a1eebfb1f58fe0716fd,fingerprint,996,1,f,2018-12-04 18:37:04.51229+01
99ad2e64769656d251e1b3de273ad3fb,fingerprint,1019,1,f,2018-12-04 18:35:48.841787+01
99ad2e64769656d251e1b3de273ad3fb,fingerprint,1018,1,f,2018-12-04 18:35:55.865535+01
71bd22a3bae97aea92da6016c6493294,fingerprint,737,1,f,2018-12-04 18:37:16.811837+01
99ad2e64769656d251e1b3de273ad3fb,fingerprint,1026,1,f,2018-12-04 18:35:45.403368+01
71bd22a3bae97aea92da6016c6493294,fingerprint,875,1,f,2018-12-04 18:37:08.531143+01
671b6b6a60c60c21a1ff5f1564d2e8726bb12b66,ethAddress,720,0,t,2018-12-04 18:37:25.751138+01
71bd22a3bae97aea92da6016c6493294,fingerprint,533,0,f,2018-12-04 18:37:34.445593+01
99ad2e64769656d251e1b3de273ad3fb,fingerprint,119,1,f,2018-12-04 18:37:25.317322+01
71bd22a3bae97aea92da6016c6493294,fingerprint,736,1,f,2018-12-04 18:37:21.009725+01
671b6b6a60c60c21a1ff5f1564d2e8726bb12b66,ethAddress,589,0,t,2018-12-04 18:37:30.444078+01
671b6b6a60c60c21a1ff5f1564d2e8726bb12b66,ethAddress,160,0,t,2018-12-04 18:37:46.151415+01
b3007ff3c3f40bdf0126fec7c8e43c3fc50ea813,ethAddress,119,0,t,2018-12-04 18:37:26.453263+01
4ea69bfcb1e0e3f158943144c0fe2697,fingerprint,1012,1,f,2018-12-04 18:35:03.896341+01
99ad2e64769656d251e1b3de273ad3fb,fingerprint,907,1,f,2018-12-04 18:37:32.289317+01
b3007ff3c3f40bdf0126fec7c8e43c3fc50ea813,ethAddress,907,0,t,2018-12-04 18:37:33.284076+01
671b6b6a60c60c21a1ff5f1564d2e8726bb12b66,ethAddress,533,0,t,2018-12-04 18:37:37.238677+01
71bd22a3bae97aea92da6016c6493294,fingerprint,498,0,f,2018-12-04 18:37:40.026718+01
671b6b6a60c60c21a1ff5f1564d2e8726bb12b66,ethAddress,498,0,t,2018-12-04 18:37:41.307316+01
671b6b6a60c60c21a1ff5f1564d2e8726bb12b66,ethAddress,69,0,t,2018-12-04 18:37:58.546614+01
71bd22a3bae97aea92da6016c6493294,fingerprint,53,0,f,2018-12-04 18:38:02.036578+01
671b6b6a60c60c21a1ff5f1564d2e8726bb12b66,ethAddress,29,0,t,2018-12-04 18:38:09.602734+01
99ad2e64769656d251e1b3de273ad3fb,fingerprint,1129,1,f,2018-12-04 18:37:49.48225+01
71bd22a3bae97aea92da6016c6493294,fingerprint,76,0,f,2018-12-04 18:37:53.396351+01
671b6b6a60c60c21a1ff5f1564d2e8726bb12b66,ethAddress,76,0,t,2018-12-04 18:37:54.256409+01
71bd22a3bae97aea92da6016c6493294,fingerprint,69,0,f,2018-12-04 18:37:57.211332+01
671b6b6a60c60c21a1ff5f1564d2e8726bb12b66,ethAddress,53,0,t,2018-12-04 18:38:03.184758+01
71bd22a3bae97aea92da6016c6493294,fingerprint,21,0,f,2018-12-04 18:38:12.800056+01
671b6b6a60c60c21a1ff5f1564d2e8726bb12b66,ethAddress,21,0,t,2018-12-04 18:38:13.668393+01
431f34ae949c8a1eebfb1f58fe0716fd,fingerprint,868,1,f,2018-12-04 18:37:24.508814+01
b3007ff3c3f40bdf0126fec7c8e43c3fc50ea813,ethAddress,1053,0,t,2018-12-04 18:38:56.118817+01
99ad2e64769656d251e1b3de273ad3fb,fingerprint,1100,0,f,2018-12-04 18:39:08.634165+01
431f34ae949c8a1eebfb1f58fe0716fd,fingerprint,1076,1,f,2018-12-04 18:38:57.894275+01
335e19b3f5dcfa2e398ee7d5ff430a1f8ccc88b2,ethAddress,1052,0,t,2018-12-04 18:40:05.315596+01
335e19b3f5dcfa2e398ee7d5ff430a1f8ccc88b2,ethAddress,989,0,t,2018-12-04 18:40:09.508052+01
335e19b3f5dcfa2e398ee7d5ff430a1f8ccc88b2,ethAddress,953,0,t,2018-12-04 18:40:13.114873+01
335e19b3f5dcfa2e398ee7d5ff430a1f8ccc88b2,ethAddress,904,0,t,2018-12-04 18:40:16.836376+01
4ea69bfcb1e0e3f158943144c0fe2697,fingerprint,750,0,f,2018-12-04 18:40:31.700646+01
4ea69bfcb1e0e3f158943144c0fe2697,fingerprint,674,0,f,2018-12-04 18:40:32.923778+01
4ea69bfcb1e0e3f158943144c0fe2697,fingerprint,672,0,f,2018-12-04 18:40:32.950401+01
4ea69bfcb1e0e3f158943144c0fe2697,fingerprint,704,0,f,2018-12-04 18:40:32.959157+01
4ea69bfcb1e0e3f158943144c0fe2697,fingerprint,626,0,f,2018-12-04 18:40:37.383213+01
4ea69bfcb1e0e3f158943144c0fe2697,fingerprint,526,0,f,2018-12-04 18:40:37.752847+01
4ea69bfcb1e0e3f158943144c0fe2697,fingerprint,504,0,f,2018-12-04 18:40:39.687598+01
99ad2e64769656d251e1b3de273ad3fb,fingerprint,508,0,f,2018-12-04 18:40:42.825145+01
335e19b3f5dcfa2e398ee7d5ff430a1f8ccc88b2,ethAddress,758,0,t,2018-12-04 18:40:43.08195+01
335e19b3f5dcfa2e398ee7d5ff430a1f8ccc88b2,ethAddress,754,0,t,2018-12-04 18:40:44.728789+01
4ea69bfcb1e0e3f158943144c0fe2697,fingerprint,61,0,f,2018-12-04 18:40:45.123494+01
4ea69bfcb1e0e3f158943144c0fe2697,fingerprint,86,0,f,2018-12-04 18:40:45.161856+01
335e19b3f5dcfa2e398ee7d5ff430a1f8ccc88b2,ethAddress,752,0,t,2018-12-04 18:40:46.024258+01
4ea69bfcb1e0e3f158943144c0fe2697,fingerprint,20,0,f,2018-12-04 18:40:47.130361+01
4ea69bfcb1e0e3f158943144c0fe2697,fingerprint,37,0,f,2018-12-04 18:40:47.14128+01
