tokenId,currentBidder,currentBid
14,,
120,,
37,,
93,,
80,,
87,,
95,,
2,,
26,,
133,,
50,,
145,,
58,,
105,,
51,,
67,,
77,,
20,,
69,,
61,,
150,,
52,,
70,,
21,,
64,,
22,,
138,,
81,,
27,,
79,,
75,,
57,,
158,,
155,,
103,,
159,,
45,,
36,,
140,,
141,,
160,,
144,,
300,,
560,,
167,,
165,,
176,,
553,,
171,,
175,,
102,1b158330eb18839f50649f4cb8f49954214866a3,2.5
587,,
30,,
180,c791f2d785395e769455ff8bb9fb781a27e81997,0.02
174,,
562,,
563,,
261,,
633,,
586,,
643,,
210,,
503,,
32,,
123,,
97,,
571,,
132,,
19,,
106,,
33,,
561,,
43,,
588,,
28,7dec37c03ea5ca2c47ad2509be6abaf8c63cdb39,0.13
3,,
554,,
514,,
104,,
187,,
156,,
128,,
591,,
10,dc19d539369c3da9172de453c05bc503c9ac6bc2,0.5
183,,
118,,
17,,
149,,
107,,
188,,
185,,
9,,
186,,
130,,
40,,
55,1a32ee8ac16a7d5f45a81503fe06cdc665d218b1,0.01
74,,
593,,
39,,
108,,
15,dc19d539369c3da9172de453c05bc503c9ac6bc2,0.4
626,,
136,,
13,,
520,,
89,88d5496e0b4aafdedbb6e7fd18e42bdd0843fc98,0.01
91,,
163,,
47,dc19d539369c3da9172de453c05bc503c9ac6bc2,0.2
164,,
505,,
157,f2939a3fda65f0c4803b76125356b9778df2f6df,0.01
18,,
8,,
117,,
184,,
92,,
513,,
509,5acce70cae148b520ff36dcf177ee78ba54ebc04,0.5
491,,
113,5b504346be738cd4c378136d03bd0f4cd6f23b83,1
499,,
564,,
557,,
68,,
65,,
590,,
66,7ea92dbce5387f8ff480fe5d557abd4c7b09054f,3
151,f2939a3fda65f0c4803b76125356b9778df2f6df,0.01
148,,
53,,
48,,
49,,
115,,
567,,
90,,
99,,
640,,
502,,
114,,
181,,
112,,
73,,
72,,
566,,
573,,
579,,
627,,
504,,
528,,
347,,
526,,
584,,
178,,
628,,
630,,
500,,
635,,
636,,
639,,
492,,
493,,
192,,
193,,
194,,
195,,
196,,
197,,
199,,
200,,
201,,
202,,
203,,
205,,
206,,
209,,
211,,
212,,
213,,
215,,
217,,
219,,
220,,
221,,
222,,
223,,
224,,
226,,
227,,
228,,
229,,
230,,
232,,
233,,
234,,
235,,
236,,
237,,
299,,
260,,
543,,
162,c791f2d785395e769455ff8bb9fb781a27e81997,0.02
508,,
518,,
249,,
512,,
506,,
525,,
530,,
531,,
538,,
297,,
198,,
207,,
216,,
225,,
238,,
239,,
240,,
241,,
242,,
243,,
244,,
245,,
246,,
247,,
248,,
250,,
251,,
252,,
253,,
254,,
256,,
257,,
258,,
262,,
263,,
264,,
265,,
266,,
267,,
268,,
270,,
271,,
272,,
273,,
274,,
275,,
276,,
277,,
278,,
279,,
280,,
281,,
282,,
283,,
284,,
285,,
286,,
287,,
288,,
289,,
290,,
292,,
293,,
295,,
298,,
301,,
302,,
303,,
304,,
305,,
306,,
307,,
308,,
309,,
310,,
311,,
312,,
313,,
314,,
315,,
316,,
317,,
318,,
319,,
320,,
321,,
322,,
323,,
259,860c4604fe1125ea43f81e613e7afb2aa49546aa,0.1
324,,
325,,
326,,
327,,
328,,
329,,
330,,
331,,
332,,
333,,
376,,
377,,
378,,
291,,
380,,
381,,
519,,
191,,
535,,
574,,
572,,
625,,
524,,
544,,
581,,
495,,
533,,
592,,
218,,
537,,
501,,
494,,
523,,
522,,
577,,
631,,
550,fe325b95eff8c7b86b7085fc2f446a2ade5b6b6d,0.01
575,,
632,,
168,,
594,,
496,,
534,,
189,,
527,,
578,,
255,,
507,,
231,5a5ae82fce3fd9eb406473fc42dd1112acb6e32d,1.8
269,,
576,,
517,,
182,,
580,,
642,,
511,5acce70cae148b520ff36dcf177ee78ba54ebc04,0.5
382,,
383,,
385,,
386,,
387,,
388,,
389,,
390,,
391,,
392,,
393,,
394,,
395,,
396,,
397,,
398,,
399,,
400,,
401,,
402,,
403,,
404,,
405,,
406,,
407,,
408,,
409,,
410,,
411,,
413,,
414,,
415,,
416,,
417,,
419,,
420,,
421,,
422,,
423,,
425,,
426,,
428,,
429,,
430,,
431,,
432,,
433,,
435,,
437,,
438,,
439,,
440,,
441,,
442,,
443,,
444,,
446,,
447,,
449,,
450,,
451,,
452,,
453,,
455,,
334,,
335,,
336,,
337,,
338,,
339,,
340,,
342,,
344,,
345,,
348,,
349,,
350,,
351,,
352,,
353,,
354,,
356,,
357,,
358,,
359,,
360,,
361,,
362,,
363,,
364,,
365,,
366,,
367,,
368,,
369,,
370,,
371,,
372,,
373,,
374,,
418,,
427,,
436,,
445,,
454,,
456,,
457,,
458,,
459,,
460,,
461,,
462,,
463,,
464,,
466,,
467,,
468,,
469,,
470,,
471,,
473,,
474,,
475,,
476,,
477,,
478,,
479,,
480,,
481,,
482,,
483,,
484,,
486,,
487,,
488,,
489,,
379,f0658281cd1eab7fdfd57760379fc0b35e499486,0.05
296,,
343,,
490,,
624,,
611,,
637,,
638,,
634,,
341,,
346,,
375,,
548,,
549,,
515,,
552,,
541,,
498,,
545,,
559,337101def3eeb6f06e071efe02216274507937bb,0.0027
599,,
654,,
622,,
671,,
659,,
609,,
616,,
617,,
621,,
660,,
629,,
551,,
536,,
648,,
653,,
497,,
699,,
510,5acce70cae148b520ff36dcf177ee78ba54ebc04,0.7
607,,
596,,
598,,
214,,
412,,
646,,
434,9993d3a6d5a26f1d37220fcb16947a8b16998c9f,0.1
658,,
600,,
614,,
583,,
384,,
465,,
602,,
355,,
652,,
641,,
620,,
601,,
485,5b504346be738cd4c378136d03bd0f4cd6f23b83,0.2
612,,
675,,
542,,
472,5b504346be738cd4c378136d03bd0f4cd6f23b83,0.2
683,,
623,,
605,,
603,,
294,,
655,,
672,,
647,,
610,,
532,,
680,,
681,,
690,,
521,,
695,,
708,,
674,,
808,f2939a3fda65f0c4803b76125356b9778df2f6df,0.01
724,,
704,2b3ab8e7bb14988616359b78709538b10900ab7d,0.01
734,,
662,,
42,,
751,,
54,,
700,,
714,349fbe6c3bd744342c19c1133e268686d01a650f,0.08
790,,
568,,
791,,
718,,
719,,
717,,
716,,
761,,
721,,
759,,
712,dc19d539369c3da9172de453c05bc503c9ac6bc2,0.3535
811,dc19d539369c3da9172de453c05bc503c9ac6bc2,0.3
608,,
725,,
732,,
78,,
803,,
678,,
728,,
782,,
726,,
729,,
769,,
723,,
810,,
685,,
730,,
755,,
569,,
689,,
799,,
822,,
785,,
781,,
56,,
783,,
789,,
706,,
809,,
677,,
682,,
771,,
800,,
788,,
664,,
772,,
774,,
773,,
737,,
740,,
720,,
686,,
753,,
516,,
764,,
766,,
711,,
697,,
757,,
797,,
738,,
778,,
792,,
786,,
758,,
814,dc19d539369c3da9172de453c05bc503c9ac6bc2,0.2
793,,
775,,
687,,
776,,
710,,
