tokenId,amount,contractAddress,id
1,4.6e+17,41a322b28d0ff354040e2cbc676f0320d8c8850d,0x06d4641e43ae405431c8ab61bddc7468ce32ba864ead649dbf0faf35dfa0bd1b-30
2,4.6e+17,41a322b28d0ff354040e2cbc676f0320d8c8850d,0x0c9da7b94e4bf33d6fa7bd28e04185676b5f8dc5e67ed103c090efd4b0b3a9c8-45
3,4.6e+17,41a322b28d0ff354040e2cbc676f0320d8c8850d,0xc59123d2dab713ffae84986823927d08e8248fd597062e5792bc4abf613a747c-2
4,4.6e+17,41a322b28d0ff354040e2cbc676f0320d8c8850d,0x18e33df3fefc9ad651549e1a4aa7385f5d412a6f7949eb528d354718bae40e86-77
17,4.23e+17,41a322b28d0ff354040e2cbc676f0320d8c8850d,0x82c10dfbde6c118a5cab473af100910120c23d8367a2862a4dfdeeab68b8370d-31
19,5e+17,41a322b28d0ff354040e2cbc676f0320d8c8850d,0xafc9c0575ce2bda4a4063af675af43feb1f319ca1d24817d89e5184da7f14554-78
18,5e+17,41a322b28d0ff354040e2cbc676f0320d8c8850d,0x7e1c9ab20ecda8997cd3c526b53e215a9c1923246284fcc4450a79e1d0ce795c-234
21,1e+17,41a322b28d0ff354040e2cbc676f0320d8c8850d,0xe543c197a5f7f67630a5ec76a3212259f6575be1374e2ff36014167ecd5996f4-81
22,1e+17,41a322b28d0ff354040e2cbc676f0320d8c8850d,0xe543c197a5f7f67630a5ec76a3212259f6575be1374e2ff36014167ecd5996f4-83
27,2e+17,41a322b28d0ff354040e2cbc676f0320d8c8850d,0xa698023cb4492a8e952d161ff4c3d0bef849f6a351839cec1d32d69cc93b41a0-99
28,2e+17,41a322b28d0ff354040e2cbc676f0320d8c8850d,0xa698023cb4492a8e952d161ff4c3d0bef849f6a351839cec1d32d69cc93b41a0-101
29,4.23e+17,41a322b28d0ff354040e2cbc676f0320d8c8850d,0xabf194b8163b1f1ab387b1b56e4734f7569442d6550f7ec90c836ebac4633ae7-121
20,1e+17,41a322b28d0ff354040e2cbc676f0320d8c8850d,0xd00ec46aa5a3e4302bbf8a9c0a1b06c77eb726b6d038913a9f9e685eeb6b763c-41
26,2e+17,41a322b28d0ff354040e2cbc676f0320d8c8850d,0xe7d1e9b0855b33888a1471eb079d39906b814b70ba6d5b96fd98a4e03ac41a47-14
31,2.3e+17,41a322b28d0ff354040e2cbc676f0320d8c8850d,0x138fc16bdc834d58772ee65c9140eea5cff4fb425bd479287b1d9a45ed989108-11
32,2.3e+17,41a322b28d0ff354040e2cbc676f0320d8c8850d,0x138fc16bdc834d58772ee65c9140eea5cff4fb425bd479287b1d9a45ed989108-13
33,2.3e+17,41a322b28d0ff354040e2cbc676f0320d8c8850d,0x138fc16bdc834d58772ee65c9140eea5cff4fb425bd479287b1d9a45ed989108-15
34,2.3e+17,41a322b28d0ff354040e2cbc676f0320d8c8850d,0x138fc16bdc834d58772ee65c9140eea5cff4fb425bd479287b1d9a45ed989108-17
35,2.3e+17,41a322b28d0ff354040e2cbc676f0320d8c8850d,0x138fc16bdc834d58772ee65c9140eea5cff4fb425bd479287b1d9a45ed989108-19
36,2.3e+17,41a322b28d0ff354040e2cbc676f0320d8c8850d,0x138fc16bdc834d58772ee65c9140eea5cff4fb425bd479287b1d9a45ed989108-21
38,2.3e+17,41a322b28d0ff354040e2cbc676f0320d8c8850d,0xcf7ca7f46d92c432432b9abe6b539be37e3bc817915d2d108102b99de32f7f30-115
39,2.3e+17,41a322b28d0ff354040e2cbc676f0320d8c8850d,0xcf7ca7f46d92c432432b9abe6b539be37e3bc817915d2d108102b99de32f7f30-117
40,2.3e+17,41a322b28d0ff354040e2cbc676f0320d8c8850d,0xcf7ca7f46d92c432432b9abe6b539be37e3bc817915d2d108102b99de32f7f30-119
41,2.3e+17,41a322b28d0ff354040e2cbc676f0320d8c8850d,0xcf7ca7f46d92c432432b9abe6b539be37e3bc817915d2d108102b99de32f7f30-121
42,2.3e+17,41a322b28d0ff354040e2cbc676f0320d8c8850d,0xcf7ca7f46d92c432432b9abe6b539be37e3bc817915d2d108102b99de32f7f30-123
43,2.3e+17,41a322b28d0ff354040e2cbc676f0320d8c8850d,0xcf7ca7f46d92c432432b9abe6b539be37e3bc817915d2d108102b99de32f7f30-125
27,2.5e+17,41a322b28d0ff354040e2cbc676f0320d8c8850d,0xacc0c8d14079fa55ce9965cea61990ca8cc40e2d4c5db79fbc4b65d7c075b4aa-80
28,3e+17,41a322b28d0ff354040e2cbc676f0320d8c8850d,0x074d57c8da5ed453ea29042cb90d58d100c7595792379b071568745563e38584-85
21,1.2e+17,41a322b28d0ff354040e2cbc676f0320d8c8850d,0xa2d6bf8a40c6c0daae4ad790315ebad4d743d52143fa50f7ef0e55eb2d723a93-75
22,1.4e+17,41a322b28d0ff354040e2cbc676f0320d8c8850d,0xc55584b1d818525c447bc236ccd512bd665b9b9562141e6b444d0389b6ffbee8-7
4,1.81e+18,41a322b28d0ff354040e2cbc676f0320d8c8850d,0xeb753f63dbc7d3ba05b2c38417e1a8e65c9c5569fc1b20b468a83e9f77fd6fd5-217
45,1e+18,41a322b28d0ff354040e2cbc676f0320d8c8850d,0xd8ddea9f3de253c68849dc1f0ba0bf4547141a3ab055944b77e43cfdce3c889e-83
12,7e+17,41a322b28d0ff354040e2cbc676f0320d8c8850d,0x54ea1684003dbdb441f07b2b72047649eb11fa0ff6dfbc88db395205b63af113-33
48,5e+17,41a322b28d0ff354040e2cbc676f0320d8c8850d,0x4f5c8f57e0ca99b93bda5ee25e019394c4df5e933c50682d3cbf67bd96722815-76
59,8e+17,41a322b28d0ff354040e2cbc676f0320d8c8850d,0x8bfbf9bdf14c6334234c3f4afee47a61e049fc331f8879bc550eaf9bc7e92dad-104
45,1.4e+18,41a322b28d0ff354040e2cbc676f0320d8c8850d,0x2299202d9683456f347cd9d3877dec70d558b740936ffe3ea4393f373d29de47-128
61,0,41a322b28d0ff354040e2cbc676f0320d8c8850d,0xd76ac615fd60ae0df7274dff49e59e1844fec19fa88a09acbb5a15455bebe294-35
62,0,41a322b28d0ff354040e2cbc676f0320d8c8850d,0xd76ac615fd60ae0df7274dff49e59e1844fec19fa88a09acbb5a15455bebe294-37
63,0,41a322b28d0ff354040e2cbc676f0320d8c8850d,0xd76ac615fd60ae0df7274dff49e59e1844fec19fa88a09acbb5a15455bebe294-39
64,0,41a322b28d0ff354040e2cbc676f0320d8c8850d,0xd76ac615fd60ae0df7274dff49e59e1844fec19fa88a09acbb5a15455bebe294-41
60,1e+18,41a322b28d0ff354040e2cbc676f0320d8c8850d,0x027589cc094fa065f102d29f8c511bc3a266bd94ad2a6cab95f3f46d26d3493b-58
61,5e+17,41a322b28d0ff354040e2cbc676f0320d8c8850d,0xa55f7f66e38b082e09b1e0c053ea007c0b6f26e111ce8e1ef192764e03766167-73
62,5e+17,41a322b28d0ff354040e2cbc676f0320d8c8850d,0xea56ad649218d875056747409b3d9d5c0ab239e4daf847250e39bab51a743af2-68
63,5e+17,41a322b28d0ff354040e2cbc676f0320d8c8850d,0x19b20487a8cec3464fe44ae32ea2274614cedeee14ab653047e00926fec5160b-124
64,5e+17,41a322b28d0ff354040e2cbc676f0320d8c8850d,0x2749a95da5efb6b5dc3fd2304d7f0ffeb7fdc2771d01bda6b792cfe3e82f6241-69
65,1e+18,41a322b28d0ff354040e2cbc676f0320d8c8850d,0x98c9001ebf201e8aafe708fd77d45d6fb3cf8752ad39ee2af600d6debed9b8a5-12
31,5e+17,41a322b28d0ff354040e2cbc676f0320d8c8850d,0xf8904191ddda91246b06ab12cbdf2bf82b480d0efee5d8f692efcefcec8227a8-70
32,5e+17,41a322b28d0ff354040e2cbc676f0320d8c8850d,0xab7233dfd309fddb45acd3d94dbb8db26171cf2241a50311725f5dacaff843e7-62
33,5e+17,41a322b28d0ff354040e2cbc676f0320d8c8850d,0xee29106bb5dac82276b86e2364138f779d19f6353fa45efaa381d15e945a2f69-95
34,5e+17,41a322b28d0ff354040e2cbc676f0320d8c8850d,0xc208494bf7aa197af205110c2f403176a02ec550a397ab99d5bfa3673750729a-171
35,5e+17,41a322b28d0ff354040e2cbc676f0320d8c8850d,0x6ae3cfe68a95d9c35dba1db26b4b16151323c4c5ed3ecabda07d02a3757e01cb-114
67,8e+17,41a322b28d0ff354040e2cbc676f0320d8c8850d,0x3a8e89e94c09ff94d1b7adb21158a4dfac49e5a4406f79643bf33c044f951d07-101
69,1e+17,41a322b28d0ff354040e2cbc676f0320d8c8850d,0x315c8d3b45f9c57ca0ab3a7593125a6d593eb960e068bba798b09505a6984b8c-25
70,1e+17,41a322b28d0ff354040e2cbc676f0320d8c8850d,0x315c8d3b45f9c57ca0ab3a7593125a6d593eb960e068bba798b09505a6984b8c-27
73,1e+17,41a322b28d0ff354040e2cbc676f0320d8c8850d,0xb53495472d4140cb5accc5982f201d2f2dccd6cc78c39f785441806e5e0f7afb-186
74,1e+17,41a322b28d0ff354040e2cbc676f0320d8c8850d,0xb53495472d4140cb5accc5982f201d2f2dccd6cc78c39f785441806e5e0f7afb-188
15,7e+17,41a322b28d0ff354040e2cbc676f0320d8c8850d,0xdb13d7bf958538da2c16058fd41119bb7cd4dde2461d50440a446f8154156057-115
48,5e+18,41a322b28d0ff354040e2cbc676f0320d8c8850d,0xcc72288b7612e9b656e86f0ef01bd2ed17e2c4f7435ad068eca633872233e0c8-118
30,5e+17,41a322b28d0ff354040e2cbc676f0320d8c8850d,0xbd6f2e9d7214655c5e49413aa13cfafa0eedd9a6323111d67e081e5d80c1a8e0-141
71,3e+17,41a322b28d0ff354040e2cbc676f0320d8c8850d,0x11c26ca94b5993981733641be8a0db76b83fc501444c7d9c3b2f12bcd87736fb-84
76,1e+17,41a322b28d0ff354040e2cbc676f0320d8c8850d,0x240b018751a686b281ef9e3ed1c2dd7912f3ac3923141f797d0df9ebb9414b2a-68
77,1e+17,41a322b28d0ff354040e2cbc676f0320d8c8850d,0x240b018751a686b281ef9e3ed1c2dd7912f3ac3923141f797d0df9ebb9414b2a-70
38,5e+17,41a322b28d0ff354040e2cbc676f0320d8c8850d,0x866ed82d709a492364c008adc73c36ba4adab152b99e5e63927f484245f16302-103
39,5e+17,41a322b28d0ff354040e2cbc676f0320d8c8850d,0x4c42f27bf75f18c4e8df4027ad582a4a6b6c149dcd05a2c6ed6c1930a3200658-232
41,5e+17,41a322b28d0ff354040e2cbc676f0320d8c8850d,0x8c20b99369f4db8d2fdb21858d6f2392cba06a78566438d5c1b7688b3cbdb8fd-165
58,3e+17,41a322b28d0ff354040e2cbc676f0320d8c8850d,0x77e62e61eba5669d46fea14d1ea2801b88b69a53d4d87c258ecb8e9e6d02e4ad-60
83,2.3e+18,41a322b28d0ff354040e2cbc676f0320d8c8850d,0xf79cbec957fe5c3142a07436bff544c26d31001b67402b29faf66b9ef84c808f-34
29,2.5e+18,41a322b28d0ff354040e2cbc676f0320d8c8850d,0x30c0fb2dbcb9b20efeee916addeefc1a7edf1b45178981fbcb6e2eda155eafe8-136
29,5e+18,41a322b28d0ff354040e2cbc676f0320d8c8850d,0x655445a4a391a91265c1ee534d74cab6c039f2251db0da07ec093bcaba7fe344-47
66,1e+18,41a322b28d0ff354040e2cbc676f0320d8c8850d,0x05790eca2f43ba5b43033ca9352be5f4c86aef46cdfe04a42d886079ee86efc3-130
85,1.8e+18,41a322b28d0ff354040e2cbc676f0320d8c8850d,0x8e0da15506a0cfb1e6a8f06c5ddcca3f8f82784551da45eecaad2f57d799dea7-8
86,1.8e+18,41a322b28d0ff354040e2cbc676f0320d8c8850d,0xb234aa02b54aa5240f23739868ab065a7e8525f4e2c3d0c9cebc0d780e2f7801-9
89,2e+18,41a322b28d0ff354040e2cbc676f0320d8c8850d,0x1980f5f4bfc3af555ffc35d820c0999769c9c8e05b4f1a5f85b6ce6d70793f85-58
87,2e+18,41a322b28d0ff354040e2cbc676f0320d8c8850d,0xc55379ae7d2a99e6eda13c70ab07f2d0d2a5e092d4a8f0389ec94ec932627ca2-62
78,2.5e+17,41a322b28d0ff354040e2cbc676f0320d8c8850d,0x2126389e3e94b2f4d68422d045257e1ac4262902a1032673fc2a6f55c60b8412-39
49,1e+18,41a322b28d0ff354040e2cbc676f0320d8c8850d,0x0417b3ad3bb62a1ecb3264046fc4ddc41b455b1d3dbb4eb927d2fb6331fa8315-90
68,8e+17,41a322b28d0ff354040e2cbc676f0320d8c8850d,0xdbb645cf88a8922d18f70d5f10911dccfd6920249d7679a8ee5d773b91520112-97
75,3e+17,41a322b28d0ff354040e2cbc676f0320d8c8850d,0x3f7eefbc75dbbe707aedffdc3b9c94349160af77c9c1440613c5b294ccf88a5d-21
52,1e+18,41a322b28d0ff354040e2cbc676f0320d8c8850d,0x1ec849c0ea182af7ff98485cb5c093c3c9b7ab10ccce75f0591ca7bbff3e02ef-37
73,3e+17,41a322b28d0ff354040e2cbc676f0320d8c8850d,0x48e9c6e2312e9e70cf0d6ad089245bc2f38023c26466faa33277771c53982b3c-144
72,5e+17,41a322b28d0ff354040e2cbc676f0320d8c8850d,0x00620d924ca28157bc39458c222a05393b20d30ce3e7140a4c73e9e453515f87-185
