address,tokenId,dateCreated
671b6b6a60c60c21a1ff5f1564d2e8726bb12b66,1012,2018-12-04 18:34:56.223643+01
671b6b6a60c60c21a1ff5f1564d2e8726bb12b66,66,2018-12-04 18:35:03.938081+01
671b6b6a60c60c21a1ff5f1564d2e8726bb12b66,948,2018-12-04 18:35:16.780535+01
b3007ff3c3f40bdf0126fec7c8e43c3fc50ea813,1108,2018-12-04 18:35:31.795616+01
b3007ff3c3f40bdf0126fec7c8e43c3fc50ea813,1092,2018-12-04 18:35:36.885582+01
b3007ff3c3f40bdf0126fec7c8e43c3fc50ea813,1060,2018-12-04 18:35:39.759936+01
b3007ff3c3f40bdf0126fec7c8e43c3fc50ea813,1090,2018-12-04 18:35:42.795931+01
b3007ff3c3f40bdf0126fec7c8e43c3fc50ea813,1026,2018-12-04 18:35:46.591738+01
b3007ff3c3f40bdf0126fec7c8e43c3fc50ea813,1019,2018-12-04 18:35:49.616087+01
b3007ff3c3f40bdf0126fec7c8e43c3fc50ea813,1017,2018-12-04 18:35:53.167817+01
b3007ff3c3f40bdf0126fec7c8e43c3fc50ea813,1018,2018-12-04 18:35:56.966694+01
671b6b6a60c60c21a1ff5f1564d2e8726bb12b66,1116,2018-12-04 18:36:01.280948+01
b3007ff3c3f40bdf0126fec7c8e43c3fc50ea813,969,2018-12-04 18:36:04.575936+01
b3007ff3c3f40bdf0126fec7c8e43c3fc50ea813,948,2018-12-04 18:36:08.677824+01
b3007ff3c3f40bdf0126fec7c8e43c3fc50ea813,915,2018-12-04 18:36:12.510038+01
b3007ff3c3f40bdf0126fec7c8e43c3fc50ea813,930,2018-12-04 18:36:16.472981+01
671b6b6a60c60c21a1ff5f1564d2e8726bb12b66,1109,2018-12-04 18:36:20.672512+01
b3007ff3c3f40bdf0126fec7c8e43c3fc50ea813,875,2018-12-04 18:36:20.720309+01
335e19b3f5dcfa2e398ee7d5ff430a1f8ccc88b2,1012,2018-12-04 18:36:21.300971+01
b3007ff3c3f40bdf0126fec7c8e43c3fc50ea813,683,2018-12-04 18:36:25.836296+01
b3007ff3c3f40bdf0126fec7c8e43c3fc50ea813,685,2018-12-04 18:36:30.102473+01
671b6b6a60c60c21a1ff5f1564d2e8726bb12b66,1102,2018-12-04 18:36:32.836804+01
