tokenId,thumbnail,standard
13,https://pixura.imgix.net/https%3A%2F%2Fipfs.pixura.io%2Fipfs%2FQmXAYvTCi4a1k3SDp18Xg6RcwUyAtLqQ7roz9sdKeFfqM6?w=150&h=150&gifq=100&s=aae1b5e11f6e0de2c299373e65966789,https://pixura.imgix.net/https%3A%2F%2Fipfs.pixura.io%2Fipfs%2FQmXAYvTCi4a1k3SDp18Xg6RcwUyAtLqQ7roz9sdKeFfqM6?w=400&gifq=100&s=c86020295d92170b33f69ba04c022508
14,https://pixura.imgix.net/https%3A%2F%2Fipfs.pixura.io%2Fipfs%2FQmPVw2vcVnj7vYHc6Esk1kRpQTVxL6KEgc5bmF6PFjR4Xi?w=150&h=150&gifq=100&s=754b3077085e6a88aec2d4c73c6f689e,https://pixura.imgix.net/https%3A%2F%2Fipfs.pixura.io%2Fipfs%2FQmPVw2vcVnj7vYHc6Esk1kRpQTVxL6KEgc5bmF6PFjR4Xi?w=400&gifq=100&s=a39af3762218ffe4f00a1ccda33aff8f
15,https://pixura.imgix.net/https%3A%2F%2Fipfs.pixura.io%2Fipfs%2FQmP87MepUZoLb24E7FGW1YbdvZJmkcKU3B8hc52bV7pAwR?w=150&h=150&gifq=100&s=e5eedc81c5bcae1e79a016c11d654e21,https://pixura.imgix.net/https%3A%2F%2Fipfs.pixura.io%2Fipfs%2FQmP87MepUZoLb24E7FGW1YbdvZJmkcKU3B8hc52bV7pAwR?w=400&gifq=100&s=bc94ce332eebe5351d931ecf1a411227
16,https://pixura.imgix.net/https%3A%2F%2Fipfs.pixura.io%2Fipfs%2FQmauvHamQVLWXNpdoKLimJsTLmbUrc7M9NewQz3g3R88qg?w=150&h=150&gifq=100&s=d00bd110d50005e4f4c5cf6e76d78793,https://pixura.imgix.net/https%3A%2F%2Fipfs.pixura.io%2Fipfs%2FQmauvHamQVLWXNpdoKLimJsTLmbUrc7M9NewQz3g3R88qg?w=400&gifq=100&s=97b35f0a60671b1a983b56b002972823
17,https://pixura.imgix.net/https%3A%2F%2Fipfs.pixura.io%2Fipfs%2FQmRpfseMgmNrCbeeNCnv45GeLpTmwFRQtBPg9QNDXFNxa8?w=150&h=150&gifq=100&s=af69fd9970c893b1b5d21a675009b9c4,https://pixura.imgix.net/https%3A%2F%2Fipfs.pixura.io%2Fipfs%2FQmRpfseMgmNrCbeeNCnv45GeLpTmwFRQtBPg9QNDXFNxa8?w=400&gifq=100&s=d6dcdd13a7eecd40975b4329cb4ef3e7
18,https://pixura.imgix.net/https%3A%2F%2Fipfs.pixura.io%2Fipfs%2FQmcyX3tKk7x3MZkAdCu8nQ3pS6B9wL3LPtZw6jDwXPnc9N?w=150&h=150&gifq=100&s=b3966286adf4daffbcd8b29c357362a3,https://pixura.imgix.net/https%3A%2F%2Fipfs.pixura.io%2Fipfs%2FQmcyX3tKk7x3MZkAdCu8nQ3pS6B9wL3LPtZw6jDwXPnc9N?w=400&gifq=100&s=3b73d903179826522cd2c1c76a884ba0
19,https://pixura.imgix.net/https%3A%2F%2Fipfs.pixura.io%2Fipfs%2FQmPKmn2qEdBCt1SqrQEgKfCadMhBAr56D4ywMcB4ApZvmp?w=150&h=150&gifq=100&s=bdbf441e0140788cf990cbb9cef9eda3,https://pixura.imgix.net/https%3A%2F%2Fipfs.pixura.io%2Fipfs%2FQmPKmn2qEdBCt1SqrQEgKfCadMhBAr56D4ywMcB4ApZvmp?w=400&gifq=100&s=92c2da5e950468b2dbd1427ede55d0b8
21,https://pixura.imgix.net/https%3A%2F%2Fipfs.pixura.io%2Fipfs%2FQmQHp1zAKRZikhKky1daJu1vMYZLSUviUJbrhhU36GXUbM?w=150&h=150&gifq=100&s=f390ff4ea8fbb75b4b7a7245adf21f5c,https://pixura.imgix.net/https%3A%2F%2Fipfs.pixura.io%2Fipfs%2FQmQHp1zAKRZikhKky1daJu1vMYZLSUviUJbrhhU36GXUbM?w=400&gifq=100&s=684b68b9c451bc09f935be817bd48323
22,https://pixura.imgix.net/https%3A%2F%2Fipfs.pixura.io%2Fipfs%2FQmQHp1zAKRZikhKky1daJu1vMYZLSUviUJbrhhU36GXUbM?w=150&h=150&gifq=100&s=f390ff4ea8fbb75b4b7a7245adf21f5c,https://pixura.imgix.net/https%3A%2F%2Fipfs.pixura.io%2Fipfs%2FQmQHp1zAKRZikhKky1daJu1vMYZLSUviUJbrhhU36GXUbM?w=400&gifq=100&s=684b68b9c451bc09f935be817bd48323
27,https://pixura.imgix.net/https%3A%2F%2Fipfs.pixura.io%2Fipfs%2FQmUaqXfj12tirtSCmyz79J4ZPsX9A6P6RSuADS8zZBSCqZ?w=150&h=150&gifq=100&s=d47980590a54bd99f6b065a77d746bd3,https://pixura.imgix.net/https%3A%2F%2Fipfs.pixura.io%2Fipfs%2FQmUaqXfj12tirtSCmyz79J4ZPsX9A6P6RSuADS8zZBSCqZ?w=400&gifq=100&s=70af4b0bb92ce824c934f073f8bb35e5
